timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762302675045383049,SimpleMarketMaker,294973,SELL,6778.00,1,0.00,2.17
1762302685544660381,SimpleMarketMaker,294973,BUY,6779.25,1,-62.50,2.17
1762302689575280061,SimpleMarketMaker,294973,SELL,6779.50,1,0.00,2.17
1762302689830933397,SimpleMarketMaker,294973,SELL,6780.00,1,0.00,2.17
1762302690303755435,SimpleMarketMaker,294973,BUY,6779.75,1,0.00,2.17
1762302694943396155,SimpleMarketMaker,294973,BUY,6779.75,1,0.00,2.17
1762302696162579803,SimpleMarketMaker,294973,SELL,6780.00,1,0.00,2.17
1762302698694494777,SimpleMarketMaker,294973,BUY,6780.25,1,-12.50,2.17
1762302723888502375,SimpleMarketMaker,294973,SELL,6780.25,1,0.00,2.17
1762302736738942805,SimpleMarketMaker,294973,BUY,6780.00,1,12.50,2.17
1762302741750761851,SimpleMarketMaker,294973,SELL,6779.75,1,0.00,2.17
1762302744701115731,SimpleMarketMaker,294973,BUY,6779.25,1,25.00,2.17
1762302771202696729,SimpleMarketMaker,294973,SELL,6778.00,1,0.00,2.17
1762302781745424751,SimpleMarketMaker,294973,BUY,6778.50,1,-25.00,2.17
1762302784569645701,SimpleMarketMaker,294973,SELL,6778.25,1,0.00,2.17
1762302791261491165,SimpleMarketMaker,294973,BUY,6777.75,1,25.00,2.17
1762302800056087075,SimpleMarketMaker,294973,SELL,6777.50,1,0.00,2.17
1762302821539218045,SimpleMarketMaker,294973,BUY,6778.25,1,-37.50,2.17
1762302842065862831,SimpleMarketMaker,294973,SELL,6778.00,1,0.00,2.17
1762302850441484989,SimpleMarketMaker,294973,BUY,6778.50,1,-25.00,2.17
1762302854816889431,SimpleMarketMaker,294973,SELL,6778.75,1,0.00,2.17
1762302859978441893,SimpleMarketMaker,294973,BUY,6778.50,1,12.50,2.17
1762302864302560767,SimpleMarketMaker,294973,SELL,6778.75,1,0.00,2.17
1762302876809847297,SimpleMarketMaker,294973,BUY,6778.25,1,25.00,2.17
1762302883972370095,SimpleMarketMaker,294973,SELL,6778.00,1,0.00,2.17
1762302898355946259,SimpleMarketMaker,294973,BUY,6778.00,1,0.00,2.17
1762302906235274481,SimpleMarketMaker,294973,SELL,6778.50,1,0.00,2.17
1762302912967133053,SimpleMarketMaker,294973,BUY,6778.75,1,-12.50,2.17
1762302920765012407,SimpleMarketMaker,294973,SELL,6779.00,1,0.00,2.17
1762302928162538145,SimpleMarketMaker,294973,BUY,6779.50,1,-25.00,2.17
1762302933446408891,SimpleMarketMaker,294973,SELL,6779.75,1,0.00,2.17
1762302936591958223,SimpleMarketMaker,294973,SELL,6780.75,1,0.00,2.17
